rxnID,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
DXPS,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DXYLK,0.987491620405124,0.9966319596232559,0.9944333586722408,0.9845596089729062,0.9783058818024422
D_GLY3PRi,0.019054503665396898,0.0089615705599488,0.0085439630051944,0.0261709772440357,0.024109774928641498
D_LACD,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
D_LACt2,0.011977028325347501,0.005841910741962281,0.0052063537311541,0.030702748195384003,0.7942421973702681
E4PD,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR100x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR10M11x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR10M12,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR10M12x,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR11M12,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR11M12x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR120x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR121x,0.1107373116715012,0.8194273337837299,0.034354016216900894,0.4838798433302041,0.8695954798558793
EAR12M13x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR12M14,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR12M14x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR13M14,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR13M14x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR140x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR141x,0.1107373116715012,0.8194273337837299,0.034354016216900894,0.4838798433302041,0.8695954798558793
EAR14M15x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR14M16,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR14M16x,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR15M16,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR15M16x,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR160x,0.9870683929404419,0.9966816357350072,0.9942274800456097,0.9881202861489654,0.9783058818024422
EAR161x,0.1107373116715012,0.8194273337837299,0.034354016216900894,0.4838798433302041,0.8695954798558793
EAR180x,0.9870683929404419,0.9966816357350072,0.9942274800456097,0.9881202861489654,0.9783058818024422
EAR181x,0.1107373116715012,0.8194273337837299,0.034354016216900894,0.4838798433302041,0.8695954798558793
EAR40x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR4M5x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR4M6,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR4M6x,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR5M6,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR5M6x,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR60x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR6M7x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR6M8,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR6M8x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR7M8,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR7M8x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR80x,0.9870683929404419,0.9966319596232559,0.9942274800456097,0.9842359110478098,0.9783058818024422
EAR8M10,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR8M10x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
EAR8M9x,0.0065461240705214,0.0056432062949568,0.0029773216774357,0.0146149613180979,0.0024156567310841
EAR9M10,0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
EAR9M10x,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
ECOAH1,0.2969882886473091,0.9539403091841192,0.29426390472570607,0.7827663224678727,0.8813403677881239
ECOAH12,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH1R,0.9724871255440943,0.990263482096729,0.9875562207018875,0.9623539313113001,0.9756913574470073
ECOAH2,0.0075902911001751,0.000218574891706,0.0031950779171417,0.0015051953516977,0.0001228300032754
ECOAH3,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH4,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH5,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH6,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH7,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
ECOAH9,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
EDA,0.000682724596312,0.0006060485633667809,0.0006215950842518,0.0138542711941216,7.603762107528894e-05
EDA_R,0.9820638054018651,0.2094940984779236,0.9913174648422651,0.6217104198362086,0.9674500491320009
EDD,0.0075902911001751,0.000268251003457381,0.0031950779171417,0.0053895704528533,0.0001228300032754
EDTXS1,0.029752581841996903,0.7976791320589752,0.013045578360572501,0.3855242287896932,0.8074844415329182
EDTXS2,0.01191215404244,0.7868000635854229,0.0054834980362345,0.3540607904703329,0.0109026250526413
EHGLAT,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
ENO,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
ETHAAL,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
ETHSO3abc,0.29947204690719564,0.1735087231252232,0.29536852274166964,0.4505875117340496,0.8730522670909174
ETOHt2r,0.1107373116715012,0.8194273337837299,0.034354016216900894,0.4838798433302041,0.8695954798558793
ETOHt3,0.0994430079424657,0.8141914716051344,0.0297692575699986,0.4670313663289417,0.0754293201066865
