metID,metName,metFormula,metComp
panBacteroides_pectinophilus_2agpe161_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P1,c
panBacteroides_pectinophilus_2agpe180_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,c
panBacteroides_pectinophilus_2agpe181_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,c
panBacteroides_pectinophilus_2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,c
panBacteroides_pectinophilus_2agpg140_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C20H40O9P1,c
panBacteroides_pectinophilus_2agpg141_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P1,c
panBacteroides_pectinophilus_2agpg160_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C22H44O9P1,c
panBacteroides_pectinophilus_2agpg161_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P1,c
panBacteroides_pectinophilus_2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,c
panBacteroides_pectinophilus_2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,c
panBacteroides_pectinophilus_2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4,c
panBacteroides_pectinophilus_2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,c
panBacteroides_pectinophilus_2ddecg3p_c,2-dodecanoyl-sn-glycerol 3-phosphate,C15H30O7P1,c
panBacteroides_pectinophilus_2ddg6p_c,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,C6H8O9P,c
panBacteroides_pectinophilus_2ddglcn_c,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,c
panBacteroides_pectinophilus_2dhp_c,2-Dehydropantoate,C6H9O4,c
panBacteroides_pectinophilus_2dmmq8_c,2-Demethylmenaquinone 8,C50H70O2,c
panBacteroides_pectinophilus_2dmmq8_u,2-Demethylmenaquinone 8,C50H70O2,u
panBacteroides_pectinophilus_2dmmql8_c,2-Demethylmenaquinol 8,C50H72O2,c
panBacteroides_pectinophilus_2dr1p_c,2-Deoxy-D-ribose 1-phosphate,C5H9O7P,c
panBacteroides_pectinophilus_2dr5p_c,2-deoxy-D-ribose 5-phosphate(2-),C5H9O7P,c
panBacteroides_pectinophilus_2hdec9eg3p_c,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H36O7P1,c
panBacteroides_pectinophilus_2hdecg3p_c,2-hexadecanoyl-sn-glycerol 3-phosphate,C19H38O7P1,c
panBacteroides_pectinophilus_2ippm_c,2-Isopropylmaleate,C7H8O4,c
panBacteroides_pectinophilus_2maacoa_c,2-methylacetoacetyl-CoA(4-),C26H38N7O18P3S,c
panBacteroides_pectinophilus_2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H8N3O7P2,c
panBacteroides_pectinophilus_2mb2coa_c,2-methylcrotonoyl-CoA(4-),C26H38N7O17P3S,c
panBacteroides_pectinophilus_2mbcoa_c,2-methylbutanoyl-CoA(4-),C26H40N7O17P3S,c
panBacteroides_pectinophilus_2mbutACP_c,"2-methylbutanoyl-ACP,2-methylbutyryl-ACP",C16H29N2O8PRS,c
panBacteroides_pectinophilus_2me4p_c,2-C-methyl-D-erythritol 4-phosphate,C5H11O7P,c
panBacteroides_pectinophilus_2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,c
panBacteroides_pectinophilus_2mop_c,2-methyl-3-oxopropanoate,C4H5O3,c
panBacteroides_pectinophilus_2mp2coa_c,2-Methylprop-2-enoyl-CoA,C25H36N7O17P3S,c
panBacteroides_pectinophilus_2mpropACP_c,"2-methylpropionyl-ACP,isobutyryl-ACP",C15H27N2O8PRS,c
panBacteroides_pectinophilus_2obut_c,2-Oxobutanoate,C4H5O3,c
panBacteroides_pectinophilus_2odec11eg3p_c,2-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H40O7P1,c
panBacteroides_pectinophilus_2odecg3p_c,2-octadecanoyl-sn-glycerol 3-phosphate,C21H42O7P1,c
panBacteroides_pectinophilus_2ohph_c,2-Octaprenyl-6-hydroxyphenol,C46H70O2,c
panBacteroides_pectinophilus_2ombzl_c,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",C47H72O3,c
panBacteroides_pectinophilus_2omhmbl_c,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",C48H74O4,c
panBacteroides_pectinophilus_2ommbl_c,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",C48H74O3,c
panBacteroides_pectinophilus_2omph_c,2-Octaprenyl-6-methoxyphenol,C47H72O2,c
panBacteroides_pectinophilus_2oph_c,2-Octaprenylphenol,C46H70O,c
panBacteroides_pectinophilus_2p4c2me_c,2-phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol,C14H22N3O17P3,c
panBacteroides_pectinophilus_2pg_c,D-Glycerate 2-phosphate,C3H4O7P,c
panBacteroides_pectinophilus_2pglyc_c,2-phosphonatoglycolate(3-),C2H2O6P,c
panBacteroides_pectinophilus_2shchc_c,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",C11H10O6,c
panBacteroides_pectinophilus_2tdec7eg3p_c,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H32O7P1,c
panBacteroides_pectinophilus_2tdecg3p_c,2-tetradecanoyl-sn-glycerol 3-phosphate,C17H34O7P1,c
panBacteroides_pectinophilus_34hpp_c,3-(4-hydroxyphenyl)pyruvate,C9H7O4,c
panBacteroides_pectinophilus_3amp_c,3-AMP(2-),C10H12N5O7P,c
panBacteroides_pectinophilus_3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5,c
panBacteroides_pectinophilus_3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,c
panBacteroides_pectinophilus_3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5,c
panBacteroides_pectinophilus_3cmp_c,3-cmp,C9H12N3O8P,c
panBacteroides_pectinophilus_3dhq_c,3-Dehydroquinate,C7H9O6,c
panBacteroides_pectinophilus_3dhsk_c,3-Dehydroshikimate,C7H7O5,c
panBacteroides_pectinophilus_3gmp_c,3-GMP,C10H12N5O8P,c
panBacteroides_pectinophilus_3h3mop_c,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C6H9O4,c
panBacteroides_pectinophilus_3haACP_c,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C15H27N2O9PRS,c
panBacteroides_pectinophilus_3hadpcoa_c,(3S)-3-Hydroxyadipyl-CoA,C27H39N7O20P3S,c
panBacteroides_pectinophilus_3hbcoa_c,(S)-3-hydroxybutanoyl-CoA(4-),C25H38N7O18P3S,c
panBacteroides_pectinophilus_3hcddec5eACP_c,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C23H41N2O9PRS,c
panBacteroides_pectinophilus_3hcmrs7eACP_c,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C25H45N2O9PRS,c
panBacteroides_pectinophilus_3hcvac11eACP_c,(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],C29H53N2O9PRS,c
panBacteroides_pectinophilus_3hdcoa_c,(S)-3-Hydroxydecanoyl-CoA,C31H50N7O18P3S,c
panBacteroides_pectinophilus_3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA,C33H54N7O18P3S,c
panBacteroides_pectinophilus_3hddecACP_c,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C23H43N2O9PRS,c
panBacteroides_pectinophilus_3hdecACP_c,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H39N2O9PRS,c
panBacteroides_pectinophilus_3hhcoa_c,(S)-3-Hydroxyhexanoyl-CoA,C27H42N7O18P3S,c
panBacteroides_pectinophilus_3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S,c
panBacteroides_pectinophilus_3hhexACP_c,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H31N2O9PRS,c
panBacteroides_pectinophilus_3hmbcoa_c,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",C26H40N7O18P3S,c
panBacteroides_pectinophilus_3hmp_c,3-hydroxy-2-methylpropanoate,C4H7O3,c
panBacteroides_pectinophilus_3hmrsACP_c,(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C25H47N2O9PRS,c
panBacteroides_pectinophilus_3hocoa_c,(S)-3-Hydroxyoctanoyl-CoA,C29H46N7O18P3S,c
panBacteroides_pectinophilus_3hoctACP_c,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C19H35N2O9PRS,c
panBacteroides_pectinophilus_3hoctaACP_c,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C29H55N2O9PRS,c
panBacteroides_pectinophilus_3hpalmACP_c,R-3-hydroxypalmitoyl-[acyl-carrier protein],C27H51N2O9PRS,c
panBacteroides_pectinophilus_3htdcoa_c,(S)-3-Hydroxytetradecanoyl-CoA,C35H58N7O18P3S,c
panBacteroides_pectinophilus_3ig3p_c,C-(3-Indolyl)-glycerol 3-phosphate,C11H12NO6P,c
panBacteroides_pectinophilus_3mb2coa_c,3-methylbut-2-enoyl-CoA(4-),C26H38N7O17P3S,c
panBacteroides_pectinophilus_3mbutACP_c,"3-methylbutanoyl-ACP,isovaleryl-ACP",C16H29N2O8PRS,c
panBacteroides_pectinophilus_3mgcoa_c,trans-3-methylglutaconyl-CoA(5-),C27H37N7O19P3S,c
panBacteroides_pectinophilus_3mob_c,3-methyl-2-oxobutanoate,C5H7O3,c
panBacteroides_pectinophilus_3mop_c,3-methyl-2-oxopentanoate,C6H9O3,c
panBacteroides_pectinophilus_3odcoa_c,3-Oxodecanoyl-CoA,C31H48N7O18P3S,c
